id	name	gender	born_in	die_in	fa_label
191	ابوالقاسم خان بختیار				ابوالقاسم خان بختیار
192	Mohammad Ali Najafi	male	Tehran		محمدعلی نجفی
193	Mohsen Mehralizadeh	male	Maragheh		محسن مهرعلیزاده
194	Mirza Malkam Khan	male	Isfahan	Rome	میرزا ملکم‌خان
195	Mohsen Safaei Farahani	male			محسن صفایی فراهانی
196	Massoud Rajavi	male	Tabas		مسعود رجوی
197	Mohammad Reza Heydari	male			محمدرضا حیدری
198	Feridoun Jam				فریدون جم
199	Mirza Hosein Khan Moshir od Dowleh	male			میرزا حسین‌خان سپهسالار
200	Gholamhossein Karbaschi	male	Tehran		غلامحسین کرباسچی
201	Mohammad Reza Mirtajodini	male	Tabriz		سید محمدرضا میرتاج‌الدینی
202	Piruz Dilanchi	male	Tehran		پیروز دیلنچی
203	Ghasem Sholeh Saadi				قاسم شعله‌سعدی
204	Hossein Kazemzadeh				حسین کاظم‌زاده ایرانشهر
205	Mohammad Nahavandian	male	Tehran		محمد نهاوندیان
206	Yahya Rahim Safavi	male	Isfahan		سید یحیی رحیم‌صفوی
207	Jafar Towfighi	male			جعفر توفیقی
208	Manouchehr Mottaki	male	Bandar e Gaz		منوچهر متکی
209	Jalal Jalalizadeh	male			جلال جلالی‌زاده
210	Abbas Foroughi Bastami				فروغی بسطامی
